step;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita
151;758;824;5765;10369;1;2190;2036;2021;151264;72670;150500;70885
152;721;824;5912;10399;1;2239;2036;2022;152267;73087;151483;71314
153;738;863;6046;10431;1;2295;2036;2022;153241;73474;152456;71713
154;730;804;6258;10463;1;2314;2037;2022;154242;73852;153446;72149
155;730;861;6423;10504;1;2375;2037;2022;155233;74231;154428;72560
156;743;802;6610;10532;1;2417;2037;2022;156267;74601;155454;72969
157;759;774;6729;10549;1;2497;2038;2022;157293;74955;156432;73369
158;732;765;6908;10583;1;2541;2038;2023;158309;75336;157491;73782
159;717;740;7083;10626;1;2584;2038;2023;159288;75713;158479;74146
160;738;762;7235;10671;1;2644;2038;2023;160269;76061;159503;74522
161;664;833;7443;10718;1;2672;2039;2023;161330;76481;160495;74880
162;721;816;7572;10762;1;2745;2039;2023;162350;76823;161504;75304
163;733;765;7782;10807;1;2789;2039;2024;163337;77233;162548;75722
164;718;790;7932;10837;1;2860;2039;2024;164379;77590;163564;76121
165;678;753;8125;10880;1;2906;2039;2024;165461;77947;164628;76523
166;712;754;8308;10918;1;2953;2040;2024;166518;78296;165619;76901
167;725;754;8504;10974;1;3013;2040;2024;167566;78635;166664;77291
168;730;733;8666;11010;1;3105;2040;2024;168553;78985;167676;77648
169;699;777;8783;11062;1;3202;2040;2025;169595;79342;168649;77995
170;722;755;8937;11102;1;3291;2041;2025;170581;79686;169699;78380
171;711;743;9112;11165;1;3377;2041;2025;171618;80028;170721;78757
172;741;802;9287;11224;1;3459;2041;2025;172649;80366;171735;79123
173;663;790;9414;11267;1;3572;2041;2025;173629;80725;172713;79519
174;672;739;9619;11318;1;3637;2042;2025;174676;81054;173748;79882
175;645;786;9792;11371;1;3711;2042;2026;175708;81423;174728;80232
176;659;720;10109;11426;1;3691;2042;2026;176757;81754;175726;80639
177;674;706;10348;11477;1;3737;2043;2026;177840;82088;176753;81010
178;671;770;10527;11527;1;3831;2043;2026;178824;82389;177784;81370
179;661;723;10730;11580;1;3912;2043;2026;179825;82722;178789;81729
180;649;713;10953;11632;1;3982;2043;2027;180816;83082;179783;82081
181;637;779;11142;11680;1;4060;2044;2027;181795;83426;180767;82451
182;616;761;11369;11729;1;4115;2044;2027;182816;83734;181786;82844
183;671;705;11569;11789;1;4192;2044;2027;183819;84041;182806;83214
184;682;707;11732;11843;1;4301;2044;2027;184843;84380;183860;83557
185;698;692;11928;11889;1;4387;2045;2027;185892;84715;184876;83896
186;658;731;12095;11941;1;4491;2045;2028;186912;85060;185895;84264
187;676;724;12296;12003;1;4586;2045;2028;187915;85385;186881;84629
188;630;713;12527;12069;1;4664;2046;2028;188969;85693;187921;84997
189;647;725;12781;12128;1;4721;2046;2028;190027;86015;188920;85341
190;679;712;12995;12187;1;4816;2046;2028;191036;86336;189914;85692
191;694;724;13250;12247;1;4883;2046;2028;192053;86670;190918;86051
192;672;729;13392;12305;1;5014;2047;2029;193049;86973;191970;86413
193;648;732;13620;12363;1;5092;2047;2029;194077;87316;192995;86789
194;635;700;13938;12420;1;5123;2047;2029;195096;87632;194015;87148
195;641;673;14177;12472;1;5195;2047;2029;196108;87954;195036;87512
196;655;652;14356;12532;1;5307;2048;2029;197149;88271;196065;87898
197;653;695;14646;12598;1;5367;2048;2030;198170;88593;197143;88206
198;640;642;14864;12672;1;5466;2048;2030;199222;88907;198149;88563
199;625;696;15127;12750;1;5524;2049;2030;200229;89233;199104;88903
200;595;673;15342;12803;1;5617;2049;2030;201264;89542;200123;89288
201;612;676;15514;12863;1;5725;2049;2030;202306;89851;201148;89621
202;632;691;15798;12929;1;5764;2049;2030;203326;90150;202111;89982
203;642;729;16085;12981;1;5802;2050;2031;204415;90481;203108;90326
204;667;666;16386;13036;1;5853;2050;2031;205449;90813;204093;90655
205;633;673;16588;13109;1;5972;2050;2031;206462;91134;205137;90978
206;594;726;16858;13183;1;6028;2050;2031;207504;91482;206184;91319
207;632;697;17103;13244;1;6109;2051;2031;208499;91778;207121;91643
208;563;699;17341;13313;1;6207;2051;2031;209511;92106;208124;91980
209;630;696;17602;13375;1;6271;2051;2032;210556;92424;209167;92332
210;606;739;17841;13449;1;6350;2051;2032;211574;92754;210155;92693
211;622;717;18126;13520;1;6423;2052;2032;212652;93049;211216;93037
212;596;723;18292;13588;1;6563;2052;2032;213669;93368;212174;93379
213;586;673;18549;13658;1;6641;2052;2032;214662;93668;213177;93715
214;585;663;18819;13738;1;6717;2053;2033;215622;93975;214225;94052
215;625;683;19076;13818;1;6804;2053;2033;216580;94293;215190;94417
216;562;690;19326;13873;1;6890;2053;2033;217629;94618;216245;94772
217;603;690;19607;13951;1;6954;2053;2033;218716;94912;217276;95112
218;571;687;19848;14021;1;7057;2054;2033;219727;95203;218336;95457
219;564;626;20162;14104;1;7114;2054;2033;220757;95492;219396;95801
220;589;672;20451;14164;1;7177;2054;2034;221787;95777;220441;96119
221;605;670;20706;14242;1;7258;2054;2034;222762;96067;221487;96462
222;594;673;20998;14306;1;7317;2055;2034;223784;96372;222547;96808
223;595;717;21271;14380;1;7394;2055;2034;224794;96665;223551;97151
224;676;695;21616;14453;1;7420;2055;2034;225863;96964;224584;97484
225;574;637;21857;14526;1;7537;2055;2034;226936;97282;225512;97849
226;607;631;22093;14604;1;7636;2056;2035;228002;97563;226519;98166
227;590;697;22301;14677;1;7766;2056;2035;229026;97846;227535;98503
228;576;682;22588;14740;1;7844;2056;2035;230062;98118;228582;98848
229;596;652;22892;14803;1;7917;2057;2035;231106;98405;229622;99193
230;582;614;23092;14864;1;8037;2057;2035;232143;98710;230620;99519
231;560;661;23298;14944;1;8168;2057;2035;233125;98981;231631;99837
232;553;651;23584;15021;1;8247;2057;2036;234150;99244;232637;100174
233;607;654;23899;15103;1;8308;2058;2036;235188;99529;233678;100489
234;613;649;24240;15183;1;8357;2058;2036;236168;99837;234776;100823
235;580;670;24506;15248;1;8446;2058;2036;237187;100131;235731;101173
236;541;662;24739;15325;1;8557;2058;2036;238253;100395;236773;101503
237;582;618;24985;15382;1;8650;2059;2037;239324;100682;237772;101838
238;584;680;25203;15459;1;8781;2059;2037;240299;100953;238790;102132
239;542;684;25499;15537;1;8855;2059;2037;241332;101244;239828;102460
240;566;651;25884;15617;1;8880;2059;2037;242343;101518;240826;102778
241;565;647;26160;15696;1;8972;2060;2037;243382;101799;241851;103091
242;541;656;26403;15771;1;9091;2060;2037;244407;102072;242890;103420
243;563;674;26703;15837;1;9173;2060;2038;245422;102338;243930;103756
244;577;671;26951;15928;1;9290;2061;2038;246511;102586;244927;104073
245;564;692;27253;16014;1;9360;2061;2038;247500;102877;245950;104397
246;569;617;27591;16090;1;9417;2061;2038;248530;103172;246917;104712
247;576;624;27803;16174;1;9547;2061;2038;249543;103441;247895;105060
